City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Apatou,GF,76.42,overcast clouds,5.155,-54.3472,Yoto quensha
1,Cavaillon,FR,79.79,clear sky,43.8312,5.0359,Hôtel Toppin
5,Bethel,US,80.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
6,Atuona,PF,78.12,few clouds,-9.8,-139.0333,Villa Enata
9,Tabas,IR,85.75,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
12,Catia La Mar,VE,78.64,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
29,Palmer,US,83.01,broken clouds,42.1584,-72.3287,Wedgewood Motel
31,Hithadhoo,MV,79.07,light rain,-0.6,73.0833,Scoop Guest House
33,Dawlatabad,AF,83.88,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
38,Jacareacanga,BR,83.05,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
42,Chateau-Gontier,FR,78.96,clear sky,47.8333,-0.7,Logis Parc Hôtel & Spa
43,Jalu,LY,81.95,clear sky,29.0331,21.5482,صاحبة الفخامة
49,Portland,US,78.91,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
52,Butaritari,KI,81.93,broken clouds,3.0707,172.7902,Isles Sunset Lodge
53,Riohacha,CO,85.15,overcast clouds,11.5444,-72.9072,Hotel Taroa
54,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Westport,US,81.63,clear sky,41.1415,-73.3579,The Westport Inn
68,Thompson,CA,82.45,scattered clouds,55.7435,-97.8558,Burntwood Hotel
69,Koumac,NC,75.07,scattered clouds,-20.5667,164.2833,Le Monitel
78,Hami,CN,78.58,few clouds,42.8,93.45,Laoyutang Resort
85,Bandarbeyla,SO,77.4,few clouds,9.4942,50.8122,JABIR HOTEL
92,Kafyr-Kumukh,RU,81.72,clear sky,42.8375,47.1541,Merkuriy
94,Gainesville,US,87.64,clear sky,29.6516,-82.3248,Stayable Select
100,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
104,Missoula,US,89.85,clear sky,47.0166,-113.8009,Gold Creek Cabin
107,Norman Wells,CA,77.04,broken clouds,65.282,-126.8329,Heritage Hotel
108,Guerrero Negro,MX,77.49,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Ugoofaaru,MV,81.01,light rain,5.6667,73.0,Ungoofaaru Inn
128,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
129,Auki,SB,83.82,broken clouds,-8.7676,160.7034,Auki Motel
131,Grajau,BR,80.65,clear sky,-5.8194,-46.1386,Hotel Confiança
132,Freetown,SL,76.14,moderate rain,8.484,-13.2299,The Country Lodge Hotel
140,Hasaki,JP,79.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
145,Teknaf,BD,79.23,overcast clouds,20.8624,92.3058,Forestry Guesthouse
148,Bengkulu,ID,75.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
155,Kalmunai,LK,79.81,overcast clouds,7.4167,81.8167,VS Villa
157,Vanimo,PG,79.07,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
158,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
160,Labuhan,ID,75.11,overcast clouds,-6.8844,112.2051,DoubleFAG
166,Makat,KZ,88.74,clear sky,47.6469,53.3463,Umit
170,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
171,Wanning,CN,81.99,overcast clouds,18.8003,110.3967,Paradise Hotel
176,Sinnamary,GF,78.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
182,Conceicao Do Araguaia,BR,80.06,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
183,Zhanaozen,KZ,89.02,clear sky,43.3,52.8,K.korabay 28A
189,Lorengau,PG,83.03,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
191,Guantanamo,CU,89.17,clear sky,20.1444,-75.2092,Hotel Guantánamo
195,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
197,Buchanan,LR,76.51,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
199,Nishihara,JP,84.25,overcast clouds,26.1842,127.7558,Minshuku Agaihama
206,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
209,Shingu,JP,81.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
210,Ranipur,PK,83.86,overcast clouds,27.2879,68.5051,Dr. Kadir Bakhsh Memon House
212,Kashi,CN,78.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
215,Meulaboh,ID,76.1,broken clouds,4.1363,96.1285,Kost Pria
224,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Central
225,Bhanvad,IN,78.87,broken clouds,21.9264,69.7736,Mahalaxmi farshan
226,Touros,BR,77.14,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Sorong,ID,78.22,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
229,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
236,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
241,Minab,IR,88.12,broken clouds,27.1467,57.0801,Bam campground
247,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
249,Churapcha,RU,79.88,broken clouds,62.0025,132.4325,"""Tusku"""
251,Lazaro Cardenas,MX,85.39,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
253,Georgetown,MY,82.89,haze,5.4112,100.3354,Cititel Penang
258,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
261,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Green leaf
263,Harper,LR,75.6,overcast clouds,4.375,-7.7169,Screensaver
264,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
269,Gimli,CA,89.62,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
270,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
276,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
283,Kuryk,KZ,85.23,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
288,Santa Rosalia,MX,88.54,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
293,Gizo,SB,82.96,scattered clouds,-8.103,156.8419,Imagination Island
302,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
306,Baghdad,IQ,87.71,clear sky,33.3406,44.4009,Baghdad Hotel
308,Rossland,CA,81.63,clear sky,49.0831,-117.8022,Prestige Mountain Resort Rossland
311,Shaunavon,CA,85.78,clear sky,49.6501,-108.4181,Bear's Den Lodge
313,Yarada,IN,80.22,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
314,Tezu,IN,76.78,broken clouds,27.9167,96.1667,Circuit House
317,Sur,OM,86.58,light rain,22.5667,59.5289,Sur Plaza Hotel
321,Mabaruma,GY,77.13,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
322,Namatanai,PG,83.73,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
323,Ormara,PK,83.41,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
324,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
328,Topolobampo,MX,89.51,clear sky,25.6,-109.05,Hotel Marina Topolobampo
330,Amga,RU,79.02,clear sky,60.8953,131.9608,Algys
333,Puerto Ayacucho,VE,78.58,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
340,Key Largo,US,87.01,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
341,Khash,IR,77.77,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
345,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
347,Banda Aceh,ID,79.05,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
348,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
350,Tabou,CI,75.42,overcast clouds,4.423,-7.3528,hotêl doufoulougou
352,Constantine,DZ,76.41,clear sky,36.365,6.6147,Grand Hotel Cirta
356,Sabang,ID,81.79,broken clouds,5.8933,95.3214,Hotel Citra
358,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
359,Ariquemes,BR,84.6,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
360,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
362,Broome,US,81.37,clear sky,42.2506,-75.833,Chenango Valley State Park
363,Shiraz,IR,80.04,clear sky,29.6036,52.5388,Shams Hotel
367,Neyyattinkara,IN,78.66,overcast clouds,8.4,77.0833,P.W.D. Rest House
368,Kitaibaraki,JP,79.47,overcast clouds,36.7833,140.75,Isohara Seaside Hotel
373,Qom,IR,85.55,clear sky,34.6401,50.8764,Qom Hotel
374,Portobelo,PA,80.96,overcast clouds,9.55,-79.65,Scuba Portobelo
377,High Prairie,CA,77.38,clear sky,55.4334,-116.4858,Royal Star Motor Inn
378,Stowe,US,83.86,scattered clouds,40.2526,-75.6774,"Motel 6 Pottstown, PA"
379,Honiara,SB,85.69,few clouds,-9.4333,159.95,Heritage Park Hotel
381,Diu,IN,80.13,overcast clouds,20.7141,70.9822,Hotel Relax Inn
382,Vila Do Maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
383,Obidos,BR,80.58,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
386,Puebloviejo,CO,84.38,broken clouds,10.9938,-74.2844,The Journey Hostel
391,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
392,Acarau,BR,79.32,scattered clouds,-2.8856,-40.12,castelo pizzaria
393,Yarmouth,US,79.14,clear sky,41.7057,-70.2286,Blue Rock Resort
399,Uthal,PK,82.51,moderate rain,25.8072,66.6219,Al-Mustafa Hotel
405,Shahrud,IR,75.47,clear sky,36.4182,54.9763,Royal Hotel
407,Bubaque,GW,80.4,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
408,Dryden,CA,86.29,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
409,Hay River,CA,80.58,broken clouds,60.8156,-115.7999,Ptarmigan Inn
412,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
414,Shache,CN,75.7,clear sky,38.4167,77.2406,Delong Hotel
416,Chenzhou,CN,77.83,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
418,Alizai,PK,79.77,clear sky,33.5383,70.3462,Alizai Rest House
419,Hilton Head Island,US,82.51,scattered clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
420,Pyapon,MM,78.15,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
424,Plouzane,FR,75.52,clear sky,48.3833,-4.6167,Lymina
429,Puri,IN,79.32,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
432,Alexander City,US,89.06,clear sky,32.944,-85.9539,Hampton Inn Alexander City
436,Mangrol,IN,80.6,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
439,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
442,Matay,EG,81.61,clear sky,28.419,30.7792,Nag Aespen
445,Kirakira,SB,82.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
447,Pacific Grove,US,80.24,clear sky,36.6177,-121.9166,Lovers Point Inn
450,Samarai,PG,80.55,scattered clouds,-10.6167,150.6667,Nuli Sapi
452,Terrasini,IT,83.46,clear sky,38.146,13.0844,Florio Park Hotel
454,Bilma,NE,88.52,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
456,Kearney,US,84.11,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
458,Sao Geraldo Do Araguaia,BR,82.11,few clouds,-6.4006,-48.555,Hotel Por do Sol
461,Yining,CN,78.66,overcast clouds,29.0361,114.5636,Xiushui Hotel
463,Binzhou,CN,77.83,broken clouds,37.3667,118.0167,Hampton By Hilton Binzhou
466,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
470,Rockland,US,82.22,overcast clouds,41.1668,-74.0496,National Camp Association
471,Kraksaan,ID,75.92,scattered clouds,-7.7585,113.3962,Asrama Hati
472,Boa Vista,BR,85.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
476,Singaraja,ID,77.23,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
477,Balkanabat,TM,89.4,clear sky,39.5108,54.3671,Nebitchi Hotel
478,Hambantota,LK,79.86,overcast clouds,6.1241,81.1185,Bungalow 63
479,Tra Vinh,VN,76.08,overcast clouds,9.9347,106.3453,Hồng Ân
480,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
481,Dalbandin,PK,87.1,few clouds,28.8947,64.4101,Sanjrani House
482,Paciran,ID,76.64,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
483,Negombo,LK,80.65,light rain,7.2083,79.8358,Hotel Sunset Beach
484,Adeje,ES,77.11,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
488,Waddan,LY,78.58,clear sky,29.1614,16.139,محل الشريف محمد العايب
490,Garowe,SO,75.29,clear sky,8.4054,48.4845,Curubo Hotel
491,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
492,Sao Felix Do Xingu,BR,81.77,few clouds,-6.6447,-51.995,Rio Xingu Camping
495,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
499,Chardara,KZ,78.39,clear sky,41.2547,67.9692,Жанаргул
501,Sarangani,PH,78.89,moderate rain,5.4033,125.4636,JVL Inn and Cafeteria
502,Jhawarian,PK,86.13,broken clouds,32.3614,72.6228,Asif Sweet Villas homes
503,Bali,ID,77.97,broken clouds,-8.5,115.0,Pondok Pitaya
506,Paragominas,BR,76.98,clear sky,-2.9667,-47.4833,INOVA
510,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
515,Ajdabiya,LY,79.45,clear sky,30.7554,20.2263,Almadina Hotel
517,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
518,Outlook,CA,87.24,clear sky,51.5001,-107.0513,Red Wheel Motel
526,Mackenzie,CA,75.42,clear sky,55.2999,-123.1698,Hilton Shop
529,Eureka,US,80.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
532,Kilindoni,TZ,75.65,light rain,-7.9139,39.6668,Bustani B&B
534,Katsuura,JP,80.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
535,Kokubu,JP,76.53,fog,31.7333,130.7667,Hotel Kyocera
537,Mahibadhoo,MV,80.67,moderate rain,3.7833,72.9667,Omadhoo Inn
538,Nogales,MX,89.17,clear sky,31.3086,-110.9422,Siesta Motel
539,Cacoal,BR,83.21,scattered clouds,-11.4386,-61.4472,Hotel BR 364
544,Faanui,PF,77.32,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
549,Langham,CA,86.02,scattered clouds,52.3668,-106.9679,Shady Rest Motel
553,Casambalangan,PH,81.39,broken clouds,18.3765,122.1274,Villa Saturnina
556,Novo Aripuana,BR,80.91,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
558,Liyang,CN,77.76,overcast clouds,29.7057,118.2862,Hui Boutique Hotel
560,Bhavani,IN,76.71,overcast clouds,11.45,77.6833,Hotel Paviesh Park
561,Cali,CO,77.0,light rain,3.4372,-76.5225,Hotel La Luna
562,Yenangyaung,MM,78.8,overcast clouds,20.4667,94.8833,Hotel Country
563,Buala,SB,83.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
566,Abu Zabad,SD,78.49,overcast clouds,12.35,29.25,حامد محمد نور
567,Pedasi,PA,80.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
571,Villa Union,MX,87.76,overcast clouds,23.2,-106.2333,My Fantasy Auto-Hotel
574,Cairns,AU,76.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
575,Muncar,ID,75.7,broken clouds,-8.4333,114.3333,Zaky Homestay
578,Duluth,US,86.07,clear sky,46.7833,-92.1066,South Pier Inn
579,Esperanza,DO,86.58,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
581,Dakar,SN,81.48,scattered clouds,14.6937,-17.4441,Novotel Dakar
583,Carutapera,BR,76.19,broken clouds,-1.195,-46.02,Lidera
587,Dicabisagan,PH,81.05,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
588,Itoman,JP,84.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
589,Escanaba,US,80.96,clear sky,45.7453,-87.0646,Sunset Lodge
596,Freeport,US,81.99,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
600,Itarema,BR,79.16,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
605,Sorrento,IT,81.1,clear sky,40.626,14.3744,Hilton Sorrento Palace
606,Hudson Bay,CA,78.37,scattered clouds,52.85,-102.3842,Norwood Motel LTD
607,Nola,IT,83.62,few clouds,40.922,14.5329,Palazzo Giordano Bruno
608,Mecca,SA,87.84,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
621,Wakefield,GB,76.24,overcast clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
624,Quesnel,CA,75.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
629,Jining,CN,81.09,broken clouds,35.405,116.5814,Yunhe Star Hotel
640,Cabra,ES,80.65,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
643,Melville,US,80.55,few clouds,40.7934,-73.4151,Marriott Melville Long Island
644,Port Blair,IN,81.21,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
645,Ouahigouya,BF,79.83,scattered clouds,13.5828,-2.4216,Hotel Liberte
646,Imperia,IT,79.0,few clouds,43.9667,7.7833,La Stregatta
647,Ladnun,IN,88.45,broken clouds,27.65,74.3833,Varsha Sanjay Sadan
651,Normandin,CA,78.93,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
652,Rosaryville,US,82.22,light rain,38.7568,-76.8097,DSQ Farm
654,Dwarka,IN,81.61,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
657,Kudahuvadhoo,MV,76.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
660,Felanitx,ES,81.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
661,Beaverlodge,CA,78.15,few clouds,55.2166,-119.4361,Side Trax Inn
665,Mount Pleasant,US,82.54,clear sky,32.7941,-79.8626,Best Western Patriots Point
667,Porbandar,IN,80.71,broken clouds,21.6422,69.6093,Lords Inn Porbandar
669,The Pas,CA,80.62,clear sky,53.8251,-101.2541,Wescana Inn
675,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
679,Alta Floresta,BR,76.8,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
683,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
684,Katobu,ID,78.73,overcast clouds,-4.9408,122.5276,La Ode Husein
686,Porto Nacional,BR,78.8,clear sky,-10.7081,-48.4172,Vila Real Hotel
687,Crotone,IT,84.2,clear sky,39.0851,17.1178,Helios Hotel
689,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
690,Bambanglipuro,ID,76.48,overcast clouds,-7.95,110.2833,Puri Brata
